,points,price,word_count,age
205,90,25.0,42,3.0
206,90,25.0,26,4.0
207,90,32.0,36,4.0
208,90,40.0,60,5.0
209,90,16.0,46,4.0
210,90,20.0,44,4.0
211,90,32.0,40,5.0
212,90,40.0,42,3.0
213,90,48.0,55,4.0
214,90,36.0,52,4.0
215,90,80.0,39,4.0
216,90,57.0,48,6.0
217,90,20.0,41,5.0
218,90,20.0,44,3.0
219,90,36.0,36,3.0
220,90,40.0,28,4.0
221,90,40.0,34,4.0
224,90,22.0,41,4.0
225,90,25.0,55,5.0
226,90,20.0,50,4.0
227,85,15.0,72,12.0
228,85,14.0,29,12.0
229,85,18.0,32,13.0
230,85,16.0,49,12.0
231,85,10.0,41,11.0
232,85,12.0,36,12.0
233,85,28.0,64,12.0
234,85,10.0,37,11.0
235,85,49.0,32,12.0
236,85,85.0,43,14.0
238,85,29.0,34,12.0
239,85,36.0,25,13.0
240,85,9.0,42,11.0
241,85,34.0,29,13.0
242,85,15.0,27,11.0
243,85,30.0,40,16.0
244,85,13.0,49,11.0
245,85,12.0,47,11.0
246,85,15.0,40,12.0
247,85,25.0,23,14.0
248,85,45.0,23,12.0
249,85,18.0,41,11.0
250,85,49.0,17,13.0
251,85,22.0,39,12.0
252,85,35.0,38,12.0
253,85,15.0,54,11.0
254,89,45.0,56,10.0
255,89,55.0,33,9.0
256,89,20.0,38,10.0
257,89,18.0,54,11.0
258,89,35.0,42,11.0
259,89,13.0,41,11.0
260,89,40.0,42,9.0
261,89,37.0,47,10.0
262,89,39.0,57,10.0
263,89,60.0,35,9.0
264,89,19.0,54,11.0
265,89,40.0,38,9.0
266,89,14.0,58,10.0
267,89,40.0,38,11.0
268,89,36.0,36,13.0
269,89,17.0,38,9.0
270,89,25.0,31,9.0
271,89,15.0,42,8.0
272,89,26.0,42,8.0
273,89,19.0,44,11.0
274,89,13.0,37,8.0
275,89,30.0,41,9.0
276,89,20.0,42,9.0
277,89,30.0,29,8.0
278,89,50.0,34,9.0
279,89,52.0,35,9.0
280,92,24.0,40,6.0
281,92,34.0,71,7.0
282,92,41.0,51,9.0
283,92,52.0,60,7.0
284,92,215.0,56,7.0
286,92,60.0,36,7.0
287,92,40.0,59,8.0
289,92,125.0,42,8.0
292,92,45.0,31,12.0
293,92,70.0,74,9.0
294,92,30.0,51,7.0
295,87,35.0,26,10.0
296,87,20.0,40,10.0
297,87,15.0,23,10.0
298,87,19.0,50,9.0
300,87,28.0,42,11.0
301,87,14.0,39,9.0
303,87,56.0,37,13.0
305,87,24.0,42,11.0
306,87,7.0,37,9.0
307,87,30.0,25,9.0
308,87,18.0,37,8.0
309,87,20.0,40,12.0
310,87,18.0,37,12.0
311,87,18.0,38,10.0
312,87,40.0,40,10.0
314,87,28.0,31,10.0
318,86,18.0,53,11.0
319,86,20.0,37,11.0
320,86,22.0,42,10.0
321,86,16.0,35,11.0
322,86,18.0,40,11.0
323,86,35.0,56,12.0
324,86,12.0,48,11.0
325,86,11.0,47,11.0
327,86,18.0,50,11.0
328,86,16.0,31,11.0
329,86,34.0,37,12.0
330,86,40.0,32,12.0
331,86,15.0,51,10.0
335,86,15.0,55,11.0
336,83,35.0,48,3.0
337,83,16.0,36,3.0
338,82,11.0,22,3.0
339,82,13.0,18,131.0
340,82,18.0,27,3.0
341,82,48.0,23,5.0
343,81,20.0,36,8.0
344,80,19.0,33,3.0
347,97,775.0,46,4.0
349,97,225.0,41,6.0
350,97,150.0,52,8.0
351,96,320.0,61,13.0
352,96,68.0,44,4.0
353,96,630.0,42,4.0
354,96,365.0,40,4.0
355,96,68.0,54,4.0
356,95,85.0,42,5.0
357,95,350.0,62,5.0
358,95,66.0,57,7.0
359,95,110.0,53,4.0
360,95,125.0,41,6.0
361,95,60.0,43,6.0
362,95,200.0,57,6.0
363,95,380.0,50,4.0
364,95,48.0,52,4.0
365,95,60.0,48,5.0
366,88,21.0,47,18.0
367,88,10.0,56,19.0
368,88,11.0,38,17.0
369,88,21.0,33,19.0
370,88,160.0,25,27.0
371,88,23.0,18,16.0
372,88,10.0,23,16.0
373,88,15.0,23,16.0
374,88,19.0,39,17.0
375,88,40.0,23,21.0
376,88,18.0,28,16.0
378,88,18.0,36,22.0
379,88,15.0,39,17.0
380,88,12.0,67,16.0
381,88,11.0,46,18.0
382,88,15.0,49,18.0
383,88,9.0,33,17.0
384,88,30.0,27,16.0
385,88,18.0,34,17.0
386,88,34.0,39,18.0
387,88,17.0,37,18.0
388,88,25.0,40,19.0
389,88,15.0,35,16.0
390,88,12.0,65,17.0
391,88,14.0,61,17.0
392,87,12.0,35,18.0
393,87,11.0,50,16.0
394,87,12.0,53,17.0
396,85,16.0,29,11.0
397,85,15.0,51,10.0
398,85,13.0,43,10.0
399,85,24.0,36,10.0
401,85,19.0,40,10.0
402,85,11.0,49,11.0
403,85,15.0,33,13.0
404,85,45.0,30,13.0
407,85,14.0,52,11.0
408,85,15.0,36,10.0
409,85,20.0,39,11.0
410,85,20.0,38,12.0
411,85,12.0,27,12.0
412,85,20.0,42,10.0
413,85,13.0,36,11.0
415,85,14.0,31,11.0
419,89,20.0,41,7.0
421,89,30.0,49,5.0
422,89,20.0,22,3.0
423,89,23.0,37,3.0
424,89,30.0,37,4.0
425,89,18.0,42,3.0
426,89,18.0,37,7.0
427,89,35.0,38,8.0
428,89,17.0,39,3.0
429,89,42.0,29,5.0
430,89,30.0,42,4.0
431,89,24.0,45,3.0
432,89,16.0,24,4.0
433,89,27.0,40,4.0
434,89,89.0,29,6.0
436,89,15.0,40,3.0
437,89,54.0,44,6.0
438,89,15.0,42,6.0
439,89,42.0,37,5.0
440,89,38.0,51,5.0
441,89,12.0,37,3.0
442,89,35.0,39,5.0
443,88,32.0,30,6.0
444,88,12.0,26,3.0
445,88,28.0,38,3.0
446,88,20.0,48,4.0
447,88,14.0,40,3.0
448,88,19.0,35,4.0
449,92,39.0,39,12.0
451,92,35.0,47,11.0
454,92,30.0,30,6.0
455,92,40.0,59,7.0
457,92,45.0,63,7.0
458,92,50.0,36,12.0
460,92,50.0,44,7.0
461,92,29.0,38,6.0
462,92,66.0,49,8.0
463,92,60.0,44,11.0
464,92,115.0,48,7.0
465,92,69.0,54,10.0
467,92,65.0,68,8.0
468,92,42.0,42,7.0
469,92,27.0,39,7.0
470,92,70.0,37,15.0
471,92,73.0,44,8.0
472,92,72.0,46,8.0
473,92,34.0,49,8.0
475,92,130.0,69,9.0
476,92,88.0,66,9.0
477,92,65.0,48,8.0
479,87,15.0,27,12.0
480,87,45.0,45,9.0
481,87,18.0,21,10.0
482,87,60.0,41,8.0
483,87,12.0,41,7.0
484,87,12.0,40,7.0
485,87,13.0,36,9.0
486,87,13.0,39,8.0
487,87,15.0,31,8.0
488,87,18.0,32,8.0
489,87,13.0,24,8.0
491,87,18.0,30,7.0
492,87,30.0,29,10.0
493,87,35.0,35,9.0
494,87,12.0,47,7.0
495,87,18.0,57,8.0
496,87,25.0,44,9.0
497,87,30.0,26,9.0
498,87,17.0,26,8.0
499,87,20.0,23,7.0
500,87,11.0,35,7.0
501,87,15.0,28,8.0
503,87,19.0,44,7.0
504,87,15.0,27,9.0
505,87,16.0,39,9.0
506,87,12.0,38,7.0
507,87,28.0,40,9.0
508,87,28.0,45,9.0
509,91,65.0,56,4.0
510,91,48.0,42,4.0
511,91,70.0,35,8.0
513,91,90.0,24,5.0
514,91,35.0,39,6.0
515,91,75.0,39,4.0
516,91,55.0,39,4.0
517,91,55.0,35,4.0
518,91,60.0,50,4.0
519,91,36.0,38,4.0
520,91,35.0,61,5.0
521,91,35.0,61,5.0
522,91,55.0,45,4.0
523,91,65.0,61,3.0
524,91,35.0,24,4.0
525,91,49.0,53,3.0
526,91,55.0,41,4.0
527,91,30.0,53,3.0
529,91,45.0,48,4.0
530,91,24.0,49,5.0
531,91,50.0,72,7.0
532,91,50.0,55,3.0
533,91,50.0,59,3.0
534,91,38.0,40,4.0
535,91,22.0,33,3.0
536,91,50.0,45,5.0
537,91,110.0,37,6.0
538,91,45.0,39,4.0
539,93,42.0,58,4.0
540,93,60.0,55,6.0
541,93,42.0,53,6.0
542,93,30.0,41,6.0
543,93,75.0,51,5.0
544,93,54.0,53,5.0
545,93,85.0,51,6.0
546,93,50.0,55,4.0
547,93,150.0,52,7.0
548,93,85.0,46,5.0
549,93,90.0,50,7.0
550,93,35.0,52,4.0
551,93,46.0,61,5.0
552,93,20.0,48,3.0
553,93,42.0,42,5.0
554,93,40.0,60,3.0
555,93,75.0,61,5.0
556,93,88.0,45,8.0
557,93,40.0,66,5.0
558,93,25.0,58,4.0
559,93,48.0,59,5.0
560,93,45.0,56,5.0
561,93,50.0,61,4.0
562,93,65.0,50,8.0
563,93,48.0,48,6.0
564,93,62.0,48,5.0
565,93,100.0,54,7.0
566,93,53.0,45,5.0
567,93,55.0,52,7.0
568,93,70.0,37,6.0
569,89,38.0,40,4.0
570,89,50.0,38,3.0
571,89,25.0,42,3.0
572,89,15.0,49,3.0
573,89,14.0,35,3.0
574,89,11.0,44,2.0
575,89,14.0,37,3.0
576,89,37.0,43,4.0
577,89,17.0,33,2.0
578,89,15.0,36,3.0
579,89,13.0,35,2.0
580,89,18.0,32,2.0
581,89,26.0,57,2.0
582,89,18.0,43,5.0
583,89,32.0,40,4.0
584,89,18.0,39,2.0
585,89,25.0,42,2.0
586,89,18.0,38,2.0
587,89,20.0,51,2.0
588,89,18.0,53,3.0
590,89,17.0,48,2.0
591,89,13.0,44,2.0
592,89,41.0,46,4.0
593,89,16.0,36,2.0
594,89,20.0,41,3.0
595,89,30.0,49,4.0
596,89,13.0,35,3.0
597,89,24.0,35,2.0
598,89,36.0,45,5.0
599,87,20.0,39,8.0
600,87,19.0,39,7.0
601,87,15.0,46,6.0
602,87,69.0,44,8.0
603,87,36.0,45,8.0
604,87,35.0,45,10.0
605,87,30.0,46,9.0
606,87,25.0,51,7.0
607,87,25.0,50,7.0
608,87,15.0,27,6.0
609,87,20.0,40,6.0
610,87,17.0,35,6.0
611,87,54.0,36,8.0
612,87,40.0,28,8.0
613,87,12.0,30,6.0
614,87,19.0,37,7.0
615,87,11.0,58,7.0
616,87,45.0,56,7.0
617,87,25.0,34,6.0
618,87,35.0,32,9.0
621,87,28.0,37,8.0
622,87,25.0,48,9.0
623,87,28.0,41,8.0
624,87,20.0,58,8.0
625,87,15.0,38,8.0
626,87,23.0,30,10.0
627,87,19.0,39,9.0
628,92,35.0,40,6.0
629,92,75.0,62,5.0
630,92,48.0,53,5.0
631,92,54.0,41,7.0
632,92,34.0,51,5.0
633,92,60.0,30,5.0
634,92,48.0,56,5.0
635,92,28.0,55,8.0
636,92,125.0,54,8.0
637,92,45.0,76,4.0
638,92,36.0,57,8.0
639,92,30.0,62,6.0
640,92,37.0,61,4.0
641,92,25.0,42,4.0
642,92,30.0,48,5.0
643,92,60.0,35,6.0
644,92,40.0,46,5.0
645,92,50.0,35,4.0
646,92,23.0,53,5.0
647,92,80.0,73,5.0
648,92,34.0,42,4.0
649,92,75.0,50,5.0
650,92,24.0,43,4.0
651,92,39.0,43,4.0
652,92,21.0,57,4.0
653,92,35.0,45,5.0
654,92,43.0,46,4.0
655,92,30.0,56,5.0
656,92,70.0,45,5.0
657,92,50.0,64,7.0
658,90,40.0,35,5.0
659,90,45.0,19,6.0
660,90,80.0,50,6.0
661,90,15.0,50,5.0
662,90,65.0,46,7.0
663,90,65.0,37,6.0
664,90,35.0,35,5.0
665,90,25.0,41,5.0
666,90,20.0,35,4.0
667,90,15.0,33,6.0
668,90,26.0,43,4.0
669,90,30.0,32,5.0
670,90,13.0,26,5.0
671,90,45.0,58,6.0
672,90,26.0,42,4.0
673,90,44.0,48,5.0
674,90,38.0,46,6.0
675,90,28.0,31,5.0
676,90,32.0,32,6.0
677,90,50.0,46,7.0
678,90,35.0,45,6.0
679,90,35.0,21,6.0
680,90,25.0,30,7.0
681,90,42.0,35,7.0
682,90,45.0,35,7.0
683,90,70.0,38,8.0
684,90,30.0,31,6.0
685,90,75.0,49,6.0
686,90,53.0,35,7.0
687,90,29.0,41,6.0
688,91,90.0,35,7.0
689,91,35.0,54,6.0
690,91,35.0,69,5.0
691,91,50.0,55,6.0
692,91,35.0,55,6.0
693,91,65.0,55,6.0
694,91,50.0,61,5.0
695,91,43.0,41,8.0
696,91,28.0,52,4.0
698,91,20.0,51,6.0
699,91,40.0,54,6.0
700,91,30.0,38,6.0
701,91,65.0,45,5.0
702,91,17.0,39,4.0
704,91,20.0,59,4.0
705,91,28.0,30,4.0
706,91,20.0,52,4.0
707,91,20.0,36,4.0
708,91,25.0,43,4.0
709,91,38.0,48,6.0
710,91,120.0,32,5.0
711,91,23.0,48,5.0
712,91,48.0,39,5.0
713,91,32.0,54,5.0
714,91,50.0,44,6.0
715,91,28.0,60,8.0
716,91,30.0,40,5.0
717,91,25.0,39,4.0
718,85,8.0,35,3.0
719,85,15.0,28,3.0
720,85,22.0,32,3.0
721,85,14.0,33,3.0
722,85,25.0,37,3.0
723,85,8.0,28,3.0
724,85,14.0,25,3.0
725,85,80.0,40,6.0
726,85,9.0,31,3.0
727,85,13.0,23,4.0
728,85,17.0,37,3.0
729,85,10.0,31,3.0
730,85,16.0,32,5.0
731,85,10.0,40,4.0
732,85,22.0,25,4.0
733,85,40.0,35,4.0
734,85,15.0,41,4.0
735,85,17.0,35,3.0
736,85,32.0,41,5.0
737,85,12.0,39,3.0
738,85,17.0,42,5.0
739,85,102.0,42,9.0
741,85,10.0,29,4.0
742,85,20.0,23,4.0
743,85,33.0,41,5.0
744,85,48.0,40,7.0
745,85,12.0,43,3.0
746,85,9.0,26,3.0
747,87,24.0,34,11.0
748,87,75.0,53,10.0
749,87,12.0,23,9.0
750,87,45.0,30,10.0
751,87,13.0,41,8.0
753,87,22.0,43,10.0
754,87,10.0,43,8.0
755,87,18.0,45,9.0
756,87,35.0,35,10.0
757,87,36.0,39,9.0
758,87,34.0,31,10.0
759,87,70.0,59,12.0
760,87,28.0,37,10.0
761,87,19.0,43,9.0
762,87,14.0,44,8.0
763,87,10.0,44,8.0
764,87,45.0,30,11.0
765,87,32.0,26,10.0
766,87,18.0,37,10.0
767,87,9.0,42,10.0
768,87,11.0,28,10.0
769,87,30.0,35,11.0
771,92,40.0,35,11.0
773,92,32.0,43,13.0
774,92,70.0,46,8.0
775,92,48.0,43,8.0
776,92,72.0,36,13.0
777,92,18.0,38,10.0
778,92,105.0,60,8.0
779,92,101.0,42,16.0
780,92,50.0,34,15.0
781,92,85.0,57,17.0
782,92,35.0,36,10.0
783,92,38.0,57,9.0
784,90,32.0,42,10.0
785,90,25.0,64,6.0
786,90,12.0,33,6.0
787,90,125.0,35,5.0
788,90,46.0,44,3.0
789,90,29.0,39,3.0
790,90,17.0,36,4.0
791,90,85.0,44,5.0
792,90,30.0,44,6.0
793,90,34.0,38,6.0
794,90,22.0,47,3.0
795,90,35.0,51,4.0
796,90,45.0,50,4.0
797,90,20.0,45,4.0
798,90,17.0,49,4.0
799,90,45.0,54,6.0
800,90,20.0,40,4.0
802,90,22.0,36,4.0
803,90,39.0,39,5.0
804,90,35.0,35,4.0
805,90,15.0,40,6.0
806,90,27.0,45,4.0
807,90,66.0,43,5.0
808,90,32.0,38,3.0
809,90,20.0,38,7.0
810,90,125.0,50,5.0
811,90,16.0,52,3.0
812,90,42.0,40,5.0
813,90,22.0,32,5.0
815,86,18.0,39,5.0
816,86,22.0,30,5.0
817,86,12.0,38,6.0
818,86,15.0,28,5.0
819,86,9.0,29,5.0
820,86,12.0,48,5.0
822,86,20.0,31,6.0
823,86,28.0,50,8.0
824,86,10.0,39,8.0
825,86,70.0,33,9.0
826,86,28.0,33,6.0
827,86,11.0,34,6.0
828,86,30.0,40,5.0
829,86,26.0,36,5.0
830,86,15.0,19,5.0
831,86,23.0,31,5.0
833,86,30.0,44,6.0
834,86,10.0,28,6.0
835,86,12.0,26,5.0
838,86,36.0,46,7.0
839,86,20.0,36,5.0
841,86,10.0,32,5.0
842,86,16.0,36,5.0
843,86,25.0,46,7.0
844,90,24.0,36,3.0
846,90,24.0,42,4.0
847,90,33.0,41,6.0
849,90,70.0,46,4.0
850,90,117.0,33,4.0
852,90,16.0,48,4.0
853,90,30.0,40,4.0
854,90,20.0,43,4.0
855,90,35.0,41,5.0
856,90,25.0,41,3.0
857,90,28.0,35,5.0
858,90,15.0,27,4.0
859,90,150.0,36,6.0
860,90,45.0,53,9.0
861,90,30.0,33,3.0
862,90,19.0,39,3.0
863,90,45.0,47,6.0
864,90,40.0,49,5.0
866,90,25.0,38,4.0
867,90,40.0,36,5.0
868,90,15.0,38,4.0
869,90,42.0,48,4.0
870,90,29.0,43,5.0
871,90,42.0,38,5.0
872,90,18.0,45,3.0
873,90,16.0,50,4.0
874,90,40.0,31,9.0
876,90,50.0,57,11.0
878,90,35.0,42,9.0
879,90,45.0,26,9.0
880,90,20.0,53,10.0
881,90,44.0,49,10.0
882,90,22.0,40,9.0
885,90,27.0,43,10.0
886,90,25.0,53,11.0
887,90,60.0,43,9.0
888,90,72.0,36,9.0
889,90,44.0,34,9.0
890,90,28.0,40,9.0
891,90,29.0,35,9.0
892,90,58.0,37,10.0
893,90,15.0,32,10.0
894,90,29.0,35,10.0
895,90,45.0,33,12.0
896,90,70.0,47,11.0
897,90,39.0,37,10.0
899,90,28.0,40,9.0
900,90,48.0,48,11.0
901,90,50.0,42,8.0
902,87,22.0,38,4.0
903,87,10.0,29,4.0
904,87,50.0,40,5.0
905,87,30.0,35,4.0
906,87,18.0,43,3.0
907,87,30.0,24,5.0
908,87,39.0,35,5.0
909,87,35.0,30,5.0
910,87,30.0,40,7.0
911,87,23.0,43,5.0
912,87,18.0,26,3.0
913,87,30.0,49,4.0
914,87,20.0,38,6.0
915,87,25.0,34,4.0
916,87,20.0,31,3.0
917,87,50.0,34,6.0
918,87,50.0,43,6.0
919,87,15.0,35,3.0
921,87,9.0,34,3.0
922,87,12.0,35,3.0
923,87,14.0,38,3.0
924,87,18.0,35,4.0
925,87,20.0,35,5.0
926,87,175.0,47,7.0
928,87,60.0,38,5.0
929,87,20.0,32,5.0
930,87,15.0,36,4.0
931,87,35.0,31,6.0
932,87,14.0,43,4.0
933,87,16.0,36,4.0
934,87,15.0,36,4.0
935,87,14.0,36,4.0
936,87,40.0,44,5.0
937,87,29.0,38,3.0
938,87,15.0,36,5.0
939,87,55.0,20,5.0
941,87,15.0,46,4.0
942,87,34.0,32,4.0
943,87,18.0,40,5.0
944,87,27.0,33,3.0
945,87,17.0,43,4.0
946,87,65.0,44,5.0
947,87,13.0,28,4.0
948,87,15.0,41,4.0
949,87,23.0,37,4.0
950,87,40.0,34,4.0
951,87,32.0,37,5.0
952,87,16.0,37,3.0
953,87,38.0,31,6.0
954,87,15.0,18,4.0
955,87,50.0,43,6.0
957,87,24.0,32,3.0
958,87,18.0,34,3.0
960,87,18.0,43,4.0
961,87,20.0,33,4.0
963,85,11.0,42,12.0
964,85,17.0,38,12.0
965,85,48.0,55,12.0
966,85,9.0,52,10.0
967,85,10.0,41,10.0
969,85,9.0,46,10.0
970,85,19.0,24,12.0
972,85,23.0,25,10.0
973,85,35.0,21,12.0
974,85,30.0,18,12.0
975,85,12.0,50,10.0
976,85,17.0,26,10.0
977,85,16.0,25,11.0
978,85,15.0,28,10.0
979,85,10.0,30,10.0
980,85,41.0,40,15.0
981,85,10.0,38,11.0
982,85,16.0,31,13.0
983,85,25.0,25,10.0
984,85,12.0,29,13.0
985,88,20.0,60,11.0
987,88,25.0,33,11.0
988,88,20.0,36,11.0
989,88,53.0,77,13.0
990,88,12.0,32,11.0
992,88,14.0,45,12.0
993,88,12.0,36,11.0
994,88,22.0,30,12.0
995,88,26.0,48,12.0
996,88,14.0,35,12.0
997,88,18.0,41,12.0
998,88,18.0,46,11.0
999,88,17.0,30,12.0
1000,88,24.0,66,12.0
1001,88,41.0,58,13.0
1002,88,60.0,39,12.0
1003,88,26.0,33,15.0
1004,88,25.0,39,11.0
1005,88,16.0,39,11.0
1006,88,40.0,47,12.0
1007,88,21.0,30,12.0
1008,88,14.0,44,13.0
1009,88,18.0,28,12.0
1010,88,75.0,90,13.0
1011,88,16.0,38,11.0
1013,88,45.0,22,11.0
1014,88,42.0,45,6.0
1015,88,48.0,46,8.0
1016,88,22.0,40,7.0
1017,88,22.0,34,5.0
1018,88,20.0,34,5.0
1019,88,125.0,54,7.0
1020,88,14.0,39,5.0
1021,88,20.0,47,6.0
1022,88,27.0,34,5.0
1023,88,25.0,57,5.0
1024,88,28.0,46,6.0
1025,88,42.0,48,6.0
1026,88,13.0,23,5.0
1027,88,34.0,44,6.0
1028,88,19.0,44,6.0
1029,88,18.0,39,5.0
1030,88,60.0,39,6.0
1031,88,28.0,49,8.0
1032,88,16.0,29,5.0
1033,88,22.0,48,5.0
1034,88,10.0,33,8.0
1035,88,12.0,44,6.0
1036,88,28.0,32,8.0
1037,88,28.0,33,6.0
1038,87,20.0,31,6.0
1039,87,15.0,42,5.0
1040,87,15.0,34,6.0
1041,87,70.0,51,7.0
1042,85,15.0,44,15.0
1043,85,20.0,37,11.0
1044,85,17.0,36,11.0
1045,85,24.0,53,12.0
1046,85,28.0,40,14.0
1047,85,16.0,39,14.0
1050,85,10.0,36,12.0
1051,85,25.0,55,11.0
1052,85,12.0,33,11.0
1053,85,30.0,40,18.0
1054,85,19.0,36,12.0
1055,85,24.0,25,13.0
1056,85,10.0,40,11.0
1057,85,11.0,50,12.0
1058,85,16.0,41,14.0
1060,85,11.0,42,13.0
1061,85,25.0,41,11.0
1063,85,20.0,28,13.0
1065,94,50.0,41,3.0
1066,94,38.0,45,6.0
1067,94,34.0,49,3.0
1068,94,100.0,55,4.0
1069,94,95.0,46,3.0
1070,94,62.0,48,3.0
1071,94,57.0,46,5.0
1072,94,150.0,46,4.0
1073,94,78.0,31,3.0
1074,94,100.0,49,5.0
1075,94,52.0,57,3.0
1076,94,112.0,64,4.0
1077,94,180.0,47,5.0
1078,94,35.0,39,3.0
1079,94,85.0,40,3.0
1080,94,32.0,39,2.0
1081,94,32.0,44,2.0
1082,94,120.0,68,4.0
1083,94,85.0,46,5.0
1084,94,120.0,46,4.0
1085,94,38.0,41,4.0
1086,94,32.0,60,2.0
1087,94,58.0,47,3.0
1088,94,85.0,51,4.0
1089,94,80.0,64,5.0
1090,94,60.0,36,3.0
1091,94,75.0,52,4.0
1092,94,50.0,48,4.0
1093,94,60.0,33,3.0
